"YEAR","est","logse"
2001,2.51839478776278,1.42443490186345
2002,0.620439780441247,2.06913819342077
2003,1.08220548255412,1.90855743859387
2004,375.815000237701,0.836335047194197
2005,48.3307992039302,0.366898923547934
2006,0.915454112507347,1.21317969668069
2007,0.658797242911189,1.31207399553254
2008,0.119431273607337,2.0648475705324
2009,0.0989360398015114,2.09866998999873
2011,0.212996195946363,1.72012468505709
2013,18.3061316567255,1.04524603823818
2014,36.9721858615025,0.904247485051775
2015,2.13202300274335,1.11782468832731
2016,284.629866535052,0.995904979513045
2017,51.6874029526821,0.623882906872822
2018,3.69884316957276,1.18233950653073
2019,5.62445778142642,1.09194101506418
2021,241.623541972847,0.657038065410778
2022,45.3220620067413,0.758265090799887
2023,51.4227800751948,0.60798230992726
2024,101.72105205167,0.523257634266721
