"YEAR","est","logse"
"2001",27.264160222981,0.465968870316347
"2002",203.148574684188,0.329850001864315
"2003",39.7100509663415,0.439904097733096
"2004",215.51176910677,0.25294662337974
"2005",80.9822609204987,0.274199635205073
"2006",21.0020166907989,0.517072816494841
"2007",18.5378637052016,0.289368937117566
"2008",32.944446525431,0.243718653631908
"2009",27.3826449180181,0.210487384825815
"2010",430.941227742457,0.789652009166963
"2011",52.1359665350709,0.264095467982281
"2012",40.0205632218502,1.09335770888894
"2013",323.769588736128,0.67751747250713
"2014",77.3457517177797,0.528948526058745
"2015",95.3460623379173,0.258033426063809
"2016",499.609802036036,0.515259942790719
"2017",20.6714561788717,0.648519546831311
"2018",18.5036166931833,0.556018007008418
"2019",51.6293694866518,0.437749004075023
"2021",241.36462735687,0.315877971893757
"2022",193.794912466873,0.529065440530862
"2023",175.046871760712,0.347509682479938
"2024",434.170566727354,0.24693312655436
