Yr,dev,species,short_name
1980,0.0489501,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1981,0.0637665,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1982,0.0783409,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1983,0.0766034,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1984,0.059747,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1985,0.0381035,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1986,0.0187712,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1987,0.0097229,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1988,0.0185786,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1989,0.0348546,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1990,0.0439104,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1991,-0.00377149,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1992,-0.0725407,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1993,-0.142158,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1994,-0.270516,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1995,-0.352591,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1996,-0.321808,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1997,-0.306472,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1998,-0.264911,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
1999,-0.10482,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2000,0.118132,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2001,0.366889,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2002,0.481455,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2003,1.0281,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2004,0.605055,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2005,0.638997,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2006,0.646032,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2007,0.759925,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2008,0.854152,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2009,0.497662,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2010,0.239425,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2011,0.103204,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2012,-0.033797,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2013,-0.111533,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2014,-0.10548,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2015,-0.0890053,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2016,-0.0490248,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2017,-0.06231,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2018,-0.0601378,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2019,-0.03159,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2020,0.00662173,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
2021,0.0397842,Shortspine_thornyhead_2023_Full,Shortspine_thornyhead
